abbr,name,avg2020_2023
FI,Finland,180.17139065925252
PT,Portugal,135.9721824847781
IT,Italy,126.6721301942363
SE,Sweden,114.44974686694329
FR,France,108.15619669867351
LT,Lithuania,88.78719090653605
PL,Poland,79.38141456650891
MT,Malta,63.682176806968585
DK,Denmark,62.64493941909068
IE,Ireland,60.83685925910172
BE,Belgium,60.41726163749157
ES,Spain,58.40025534763517
DE,Germany,57.41403470158115
NO,Norway,56.66619283823556
NL,Netherlands,56.585589831163844
EL,Greece,53.50631693439014
CY,Cyprus,53.34957190620881
LU,Luxembourg,52.39503099385888
AT,Austria,50.18196140925804
LI,Liechtenstein,50.081943359949165
IS,Iceland,49.017530417957516
HU,Hungary,46.80511167251659
CZ,Czechia,46.395471348062436
EE,Estonia,43.90194648106057
SI,Slovenia,38.36497410510805
LV,Latvia,37.69080512037055
HR,Croatia,37.276436765623856
SK,Slovakia,35.49949467286078
RO,Romania,23.346203827212022
BG,Bulgaria,17.66461889942068
