name,abbr,cod,year,deaths
Belgium,BE,Malignant neoplasms (C00-C97),2015.0,27377
Belgium,BE,"Endocrine, nutritional and metabolic diseases (E00-E90)",2015.0,2795
Belgium,BE,Mental and behavioural disorders (F00-F99),2015.0,5411
Belgium,BE,Diseases of the circulatory system (I00-I99),2015.0,31662
Belgium,BE,Diseases of the respiratory system (J00-J99),2015.0,11933
Belgium,BE,Diseases of the digestive system (K00-K93),2015.0,4819
Belgium,BE,Diseases of the skin and subcutaneous tissue (L00-L99),2015.0,295
Belgium,BE,Diseases of the musculoskeletal system and connective tissue (M00-M99),2015.0,630
Belgium,BE,Diseases of the genitourinary system (N00-N99),2015.0,2875
Belgium,BE,"Pregnancy, childbirth and the puerperium (O00-O99)",2015.0,4
Belgium,BE,Certain conditions originating in the perinatal period (P00-P96),2015.0,197
Belgium,BE,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",2015.0,224
Belgium,BE,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2015.0,5250
Bulgaria,BG,Malignant neoplasms (C00-C97),2015.0,17945
Bulgaria,BG,"Endocrine, nutritional and metabolic diseases (E00-E90)",2015.0,1820
Bulgaria,BG,Mental and behavioural disorders (F00-F99),2015.0,93
Bulgaria,BG,Diseases of the circulatory system (I00-I99),2015.0,72151
Bulgaria,BG,Diseases of the respiratory system (J00-J99),2015.0,4050
Bulgaria,BG,Diseases of the digestive system (K00-K93),2015.0,3870
Bulgaria,BG,Diseases of the skin and subcutaneous tissue (L00-L99),2015.0,49
Bulgaria,BG,Diseases of the musculoskeletal system and connective tissue (M00-M99),2015.0,42
Bulgaria,BG,Diseases of the genitourinary system (N00-N99),2015.0,1428
Bulgaria,BG,"Pregnancy, childbirth and the puerperium (O00-O99)",2015.0,4
Bulgaria,BG,Certain conditions originating in the perinatal period (P00-P96),2015.0,190
Bulgaria,BG,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",2015.0,152
Bulgaria,BG,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2015.0,2531
Czechia,CZ,Malignant neoplasms (C00-C97),2015.0,26947
Czechia,CZ,"Endocrine, nutritional and metabolic diseases (E00-E90)",2015.0,4506
Czechia,CZ,Mental and behavioural disorders (F00-F99),2015.0,1495
Czechia,CZ,Diseases of the circulatory system (I00-I99),2015.0,51222
Czechia,CZ,Diseases of the respiratory system (J00-J99),2015.0,7513
Czechia,CZ,Diseases of the digestive system (K00-K93),2015.0,4710
Czechia,CZ,Diseases of the skin and subcutaneous tissue (L00-L99),2015.0,179
Czechia,CZ,Diseases of the musculoskeletal system and connective tissue (M00-M99),2015.0,241
Czechia,CZ,Diseases of the genitourinary system (N00-N99),2015.0,1415
Czechia,CZ,"Pregnancy, childbirth and the puerperium (O00-O99)",2015.0,2
Czechia,CZ,Certain conditions originating in the perinatal period (P00-P96),2015.0,155
Czechia,CZ,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",2015.0,160
Czechia,CZ,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2015.0,1157
Denmark,DK,Malignant neoplasms (C00-C97),2015.0,15413
Denmark,DK,"Endocrine, nutritional and metabolic diseases (E00-E90)",2015.0,1730
Denmark,DK,Mental and behavioural disorders (F00-F99),2015.0,3436
Denmark,DK,Diseases of the circulatory system (I00-I99),2015.0,12544
Denmark,DK,Diseases of the respiratory system (J00-J99),2015.0,5848
Denmark,DK,Diseases of the digestive system (K00-K93),2015.0,2074
Denmark,DK,Diseases of the skin and subcutaneous tissue (L00-L99),2015.0,56
Denmark,DK,Diseases of the musculoskeletal system and connective tissue (M00-M99),2015.0,364
Denmark,DK,Diseases of the genitourinary system (N00-N99),2015.0,798
Denmark,DK,"Pregnancy, childbirth and the puerperium (O00-O99)",2015.0,0
Denmark,DK,Certain conditions originating in the perinatal period (P00-P96),2015.0,120
Denmark,DK,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",2015.0,131
Denmark,DK,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2015.0,4157
Germany,DE,Malignant neoplasms (C00-C97),2015.0,226906
Germany,DE,"Endocrine, nutritional and metabolic diseases (E00-E90)",2015.0,32534
