name,abbr,year,source,filter,value_type,value
Armenia,AM,2015,deaths,LT80,value,17785.0
Armenia,AM,2016,deaths,LT80,value,17334.0
Armenia,AM,2017,deaths,LT80,value,16426.0
Armenia,AM,2018,deaths,LT80,value,15379.0
Armenia,AM,2019,deaths,LT80,value,14880.0
Armenia,AM,2020,deaths,LT80,value,21508.0
Armenia,AM,2021,deaths,LT80,value,21255.0
Armenia,AM,2022,deaths,LT80,value,15632.0
Armenia,AM,2023,deaths,LT80,value,14991.0
Armenia,AM,2024,deaths,LT80,value,15926.083333333334
Armenia,AM,2015,deaths,TOTAL,value,28075.0
Armenia,AM,2016,deaths,TOTAL,value,28033.0
Armenia,AM,2017,deaths,TOTAL,value,27367.0
Armenia,AM,2018,deaths,TOTAL,value,25624.0
Armenia,AM,2019,deaths,TOTAL,value,25589.0
Armenia,AM,2020,deaths,TOTAL,value,35585.0
Armenia,AM,2021,deaths,TOTAL,value,35250.0
Armenia,AM,2022,deaths,TOTAL,value,26834.0
Armenia,AM,2023,deaths,TOTAL,value,24305.0
Armenia,AM,2024,deaths,TOTAL,value,25488.666666666668
Armenia,AM,2015,deaths,Y20-39,value,778.0
Armenia,AM,2016,deaths,Y20-39,value,749.0
Armenia,AM,2017,deaths,Y20-39,value,661.0
Armenia,AM,2018,deaths,Y20-39,value,698.0
Armenia,AM,2019,deaths,Y20-39,value,600.0
Armenia,AM,2020,deaths,Y20-39,value,1838.0
Armenia,AM,2021,deaths,Y20-39,value,1125.0
Armenia,AM,2022,deaths,Y20-39,value,749.0
Armenia,AM,2023,deaths,Y20-39,value,638.0
Armenia,AM,2024,deaths,Y20-39,value,651.0833333333334
Armenia,AM,2015,deaths,Y40-59,value,4343.0
Armenia,AM,2016,deaths,Y40-59,value,4126.0
Armenia,AM,2017,deaths,Y40-59,value,3763.0
Armenia,AM,2018,deaths,Y40-59,value,3633.0
Armenia,AM,2019,deaths,Y40-59,value,3447.0
Armenia,AM,2020,deaths,Y40-59,value,4351.0
Armenia,AM,2021,deaths,Y40-59,value,4184.0
Armenia,AM,2022,deaths,Y40-59,value,3161.0
Armenia,AM,2023,deaths,Y40-59,value,2884.0
Armenia,AM,2024,deaths,Y40-59,value,2907.6666666666665
Armenia,AM,2015,deaths,Y60-79,value,12059.0
Armenia,AM,2016,deaths,Y60-79,value,11834.0
Armenia,AM,2017,deaths,Y60-79,value,11495.0
Armenia,AM,2018,deaths,Y60-79,value,10595.0
Armenia,AM,2019,deaths,Y60-79,value,10432.0
Armenia,AM,2020,deaths,Y60-79,value,14152.0
Armenia,AM,2021,deaths,Y60-79,value,15125.0
Armenia,AM,2022,deaths,Y60-79,value,11167.0
Armenia,AM,2023,deaths,Y60-79,value,11008.0
Armenia,AM,2024,deaths,Y60-79,value,12005.5
Armenia,AM,2015,deaths,Y_GE80,value,10290.0
Armenia,AM,2016,deaths,Y_GE80,value,10699.0
Armenia,AM,2017,deaths,Y_GE80,value,10941.0
Armenia,AM,2018,deaths,Y_GE80,value,10245.0
Armenia,AM,2019,deaths,Y_GE80,value,10709.0
Armenia,AM,2020,deaths,Y_GE80,value,14077.0
Armenia,AM,2021,deaths,Y_GE80,value,13995.0
Armenia,AM,2022,deaths,Y_GE80,value,11202.0
