name,abbr,agegrp,year,deaths
Armenia,AM,LT80,2015,17785.0
Armenia,AM,LT80,2016,17334.0
Armenia,AM,LT80,2017,16426.0
Armenia,AM,LT80,2018,15379.0
Armenia,AM,LT80,2019,14880.0
Armenia,AM,LT80,2020,21508.0
Armenia,AM,LT80,2021,21255.0
Armenia,AM,LT80,2022,15632.0
Armenia,AM,LT80,2023,14991.0
Armenia,AM,LT80,2024,15862.363636363636
Armenia,AM,TOTAL,2015,28075.0
Armenia,AM,TOTAL,2016,28033.0
Armenia,AM,TOTAL,2017,27367.0
Armenia,AM,TOTAL,2018,25624.0
Armenia,AM,TOTAL,2019,25589.0
Armenia,AM,TOTAL,2020,35585.0
Armenia,AM,TOTAL,2021,35250.0
Armenia,AM,TOTAL,2022,26834.0
Armenia,AM,TOTAL,2023,24305.0
Armenia,AM,TOTAL,2024,25355.909090909092
Armenia,AM,Y20-39,2015,778.0
Armenia,AM,Y20-39,2016,749.0
Armenia,AM,Y20-39,2017,661.0
Armenia,AM,Y20-39,2018,698.0
Armenia,AM,Y20-39,2019,600.0
Armenia,AM,Y20-39,2020,1838.0
Armenia,AM,Y20-39,2021,1125.0
Armenia,AM,Y20-39,2022,749.0
Armenia,AM,Y20-39,2023,638.0
Armenia,AM,Y20-39,2024,657.0909090909091
Armenia,AM,Y40-59,2015,4343.0
Armenia,AM,Y40-59,2016,4126.0
Armenia,AM,Y40-59,2017,3763.0
Armenia,AM,Y40-59,2018,3633.0
Armenia,AM,Y40-59,2019,3447.0
Armenia,AM,Y40-59,2020,4351.0
Armenia,AM,Y40-59,2021,4184.0
Armenia,AM,Y40-59,2022,3161.0
Armenia,AM,Y40-59,2023,2884.0
Armenia,AM,Y40-59,2024,2923.818181818182
Armenia,AM,Y60-79,2015,12059.0
Armenia,AM,Y60-79,2016,11834.0
Armenia,AM,Y60-79,2017,11495.0
Armenia,AM,Y60-79,2018,10595.0
Armenia,AM,Y60-79,2019,10432.0
Armenia,AM,Y60-79,2020,14152.0
Armenia,AM,Y60-79,2021,15125.0
Armenia,AM,Y60-79,2022,11167.0
Armenia,AM,Y60-79,2023,11008.0
Armenia,AM,Y60-79,2024,11923.363636363636
Armenia,AM,Y_GE80,2015,10290.0
Armenia,AM,Y_GE80,2016,10699.0
Armenia,AM,Y_GE80,2017,10941.0
Armenia,AM,Y_GE80,2018,10245.0
Armenia,AM,Y_GE80,2019,10709.0
Armenia,AM,Y_GE80,2020,14077.0
Armenia,AM,Y_GE80,2021,13995.0
Armenia,AM,Y_GE80,2022,11202.0
Armenia,AM,Y_GE80,2023,9314.0
Armenia,AM,Y_GE80,2024,9493.545454545454
Armenia,AM,Y_LT20,2015,605.0
Armenia,AM,Y_LT20,2016,625.0
Armenia,AM,Y_LT20,2017,507.0
Armenia,AM,Y_LT20,2018,453.0
Armenia,AM,Y_LT20,2019,401.0
Armenia,AM,Y_LT20,2020,1167.0
Armenia,AM,Y_LT20,2021,821.0
Armenia,AM,Y_LT20,2022,555.0
Armenia,AM,Y_LT20,2023,461.0
Armenia,AM,Y_LT20,2024,358.0909090909091
Austria,AT,LT80,2015,35919.0
Austria,AT,LT80,2016,34894.0
Austria,AT,LT80,2017,35151.0
Austria,AT,LT80,2018,36022.0
Austria,AT,LT80,2019,35398.0
Austria,AT,LT80,2020,38223.0
Austria,AT,LT80,2021,38017.0
Austria,AT,LT80,2022,37513.0
Austria,AT,LT80,2023,36061.0
Austria,AT,LT80,2024,35505.166666666664
Austria,AT,TOTAL,2015,82969.0
Austria,AT,TOTAL,2016,78842.0
Austria,AT,TOTAL,2017,81311.0
Austria,AT,TOTAL,2018,82063.0
Austria,AT,TOTAL,2019,81557.0
