abbr,year,population,vacc,dose1,dose2,dose3,dose4,dose5,dose6,dose7,doseUNK,total_dose,total_dose1,total_dose2,td1_sum,dose1_pop_ratio,td2_sum,dose2_pop_ratio,td_sum,dose_pop_ratio,name
AT,2020,8901064,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,Austria
AT,2020,8901064,COM,5344,0,0,0,0,0,0,0,5344,5344,0,5344,0.0006003776627153787,0,0.0,5344,0.0006003776627153787,Austria
AT,2020,8901064,COMBA.1,2,0,0,0,0,0,0,0,2,2,0,2,2.2469223904018666e-07,0,0.0,2,2.2469223904018666e-07,Austria
AT,2020,8901064,COMBA.4-5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,Austria
AT,2020,8901064,JANSS,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,Austria
AT,2020,8901064,MOD,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,Austria
AT,2020,8901064,MODBA.1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,Austria
AT,2020,8901064,NVXD,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,Austria
AT,2020,8901064,SGSK,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,Austria
AT,2020,8901064,UNK,0,0,0,0,0,0,0,8,8,0,0,0,0.0,0,0.0,8,8.987689561607466e-07,Austria
AT,2020,8901064,VLA,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,Austria
AT,2021,8932664,AZ,817524,773324,1200,33,0,0,0,0,1592081,817524,773324,817524,0.0915207378224458,773324,0.08657260588778443,1592081,0.17823137644044373,Austria
AT,2021,8932664,COM,4516562,4291494,3550709,4612,117,0,0,0,12363494,4516562,4291494,4521906,0.5062214362926893,4291494,0.48042711558388407,12368838,1.3846751652138714,Austria
AT,2021,8932664,COMBA.1,242,212,182,4,0,0,0,0,640,242,212,244,2.7315479458311654e-05,212,2.373312149656586e-05,642,7.187105660752492e-05,Austria
